"customer_id","recency","frequency","monetary","r_score","f_score","m_score","rfm_total_score","rfm_cell","segment"
12418,113,4,2021.20,3,4,4,11,"344","Loyal Customers"
12419,386,2,391.01,2,2,2,6,"222","Needs Attention"
12420,64,1,600.39,3,1,2,6,"312","Promising"
12421,16,6,874.60,5,4,3,12,"543","Champions"
12422,96,12,3639.35,3,5,5,13,"355","Loyal Customers"
12423,1,10,2301.39,5,5,4,14,"554","Champions"
12424,163,4,3340.03,3,3,5,11,"335","Promising"
12425,79,2,1741.41,3,3,4,10,"334","Promising"
12426,195,2,1201.21,2,2,3,7,"223","Needs Attention"
12427,22,3,699.80,4,3,3,10,"433","Potential Loyalists"
12428,26,8,6405.26,4,4,5,13,"445","Champions"
12429,10,8,5842.41,5,4,5,14,"545","Champions"
12430,44,1,216.40,4,2,1,7,"421","Potential Loyalists"
12431,36,25,10102.22,4,5,5,14,"455","Champions"
12432,43,4,4359.32,4,3,5,12,"435","Potential Loyalists"
12433,1,10,16794.14,5,5,5,15,"555","Champions"
12434,85,3,1103.43,3,3,3,9,"333","Promising"
12435,80,6,13925.93,3,4,5,12,"345","Loyal Customers"
12436,100,1,429.01,3,1,2,6,"312","Promising"
12437,2,38,11282.40,5,5,5,15,"555","Champions"
12438,15,2,2466.85,5,2,4,11,"524","Potential Loyalists"
12439,683,2,1142.88,1,2,3,6,"123","Hibernating"
12440,463,2,739.20,1,2,3,6,"123","Hibernating"
12441,367,1,155.55,2,2,1,5,"221","Needs Attention"
12442,4,1,144.06,5,2,1,8,"521","Potential Loyalists"
12443,733,1,365.31,1,1,2,4,"112","Lost"
12444,22,5,4085.46,4,4,5,13,"445","Champions"
12445,23,2,378.98,4,2,2,8,"422","Potential Loyalists"
12446,58,1,1002.31,4,1,3,8,"413","New Customers"
12447,244,1,431.49,2,1,2,5,"212","About To Sleep"
12448,45,1,365.45,4,1,2,7,"412","New Customers"
12449,23,5,4274.89,4,4,5,13,"445","Champions"
12450,157,5,688.20,3,4,3,10,"343","Loyal Customers"
12451,11,8,12629.88,5,4,5,14,"545","Champions"
12452,17,1,348.57,5,1,2,8,"512","New Customers"
12453,135,1,707.09,3,1,3,7,"313","Promising"
12454,57,4,16459.78,4,4,5,13,"445","Champions"
12455,74,9,5722.95,3,5,5,13,"355","Loyal Customers"
12456,45,3,2581.04,4,3,4,11,"434","Potential Loyalists"
12457,67,7,2555.91,3,4,4,11,"344","Loyal Customers"
12458,72,4,1502.49,3,3,4,10,"334","Promising"
12459,606,1,398.36,1,1,2,4,"112","Lost"
12460,457,1,296.65,1,1,2,4,"112","Lost"
12461,155,1,626.88,3,1,3,7,"313","Promising"
12462,19,2,937.59,5,2,3,10,"523","Potential Loyalists"
12463,54,4,1200.78,4,3,3,10,"433","Potential Loyalists"
12464,11,8,957.05,5,4,3,12,"543","Champions"
12465,18,2,682.19,5,3,3,11,"533","Potential Loyalists"
12467,424,1,132.80,1,1,1,3,"111","Lost"
12468,188,5,3238.74,2,4,5,11,"245","Cant Lose Them"
12469,523,2,3070.54,1,3,5,9,"135","At Risk"
12470,690,1,211.95,1,2,1,4,"121","Lost"
12471,3,71,35099.90,5,5,5,15,"555","Champions"
12472,33,19,14971.29,4,5,5,14,"455","Champions"
12473,54,3,2585.73,4,3,4,11,"434","Potential Loyalists"
12474,18,29,11310.75,5,5,5,15,"555","Champions"
12475,54,2,1065.64,4,2,3,9,"423","Potential Loyalists"
12476,16,18,12319.91,5,5,5,15,"555","Champions"
12477,23,9,20276.37,4,5,5,14,"455","Champions"
12478,4,1,545.99,5,1,2,8,"512","New Customers"
12479,12,1,473.20,5,1,2,8,"512","New Customers"
12480,29,7,4834.85,4,4,5,13,"445","Champions"
12481,23,14,11033.51,4,5,5,14,"455","Champions"
12482,577,27,21941.72,1,5,5,11,"155","Cant Lose Them"
12483,18,19,4069.18,5,5,5,15,"555","Champions"
12484,36,9,5557.10,4,5,5,14,"455","Champions"
12485,530,1,708.10,1,1,3,5,"113","Hibernating"
12486,432,1,917.28,1,1,3,5,"113","Hibernating"
12487,731,1,285.30,1,1,1,3,"111","Lost"
12488,10,3,1244.66,5,3,4,12,"534","Potential Loyalists"
12489,337,1,298.93,2,1,2,5,"212","About To Sleep"
12490,6,20,8764.64,5,5,5,15,"555","Champions"
12491,39,1,424.40,4,1,2,7,"412","New Customers"
12492,64,3,607.21,3,3,3,9,"333","Promising"
12493,166,2,415.74,3,2,2,7,"322","Promising"
12494,16,9,1563.27,5,5,4,14,"554","Champions"
12495,641,1,277.40,1,1,1,3,"111","Lost"
12496,621,2,45.34,1,3,1,5,"131","At Risk"
12497,82,3,5996.50,3,3,5,11,"335","Promising"
12498,22,3,349.70,4,3,2,9,"432","Potential Loyalists"
12499,561,1,357.72,1,1,2,4,"112","Lost"
12500,24,18,5559.21,4,5,5,14,"455","Champions"
12501,337,1,2025.39,2,1,4,7,"214","About To Sleep"
12502,96,5,2995.87,3,4,5,12,"345","Loyal Customers"
12503,585,1,896.00,1,1,3,5,"113","Hibernating"
12504,19,4,689.05,5,3,3,11,"533","Potential Loyalists"
12505,409,1,787.20,2,1,3,6,"213","About To Sleep"
12506,233,1,73.50,2,1,1,4,"211","About To Sleep"
12507,135,4,1508.06,3,3,4,10,"334","Promising"
12508,27,2,397.88,4,2,2,8,"422","Potential Loyalists"
12509,285,1,158.50,2,2,1,5,"221","Needs Attention"
12510,143,7,3039.03,3,4,5,12,"345","Loyal Customers"
12511,429,1,3084.02,1,1,5,7,"115","Hibernating"
12512,67,2,132.18,3,2,1,6,"321","Promising"
12513,113,1,558.29,3,1,2,6,"312","Promising"
12514,268,2,1597.76,2,2,4,8,"224","Needs Attention"
12515,354,1,278.70,2,1,1,4,"211","About To Sleep"
12516,78,4,2288.62,3,3,4,10,"334","Promising"
12517,29,4,2301.60,4,3,4,11,"434","Potential Loyalists"
12518,1,5,1840.89,5,4,4,13,"544","Champions"
12519,64,2,626.54,3,2,3,8,"323","Promising"
12520,80,5,2346.26,3,4,4,11,"344","Loyal Customers"
12521,143,1,545.68,3,1,2,6,"312","Promising"
12522,40,2,156.72,4,2,1,7,"421","Potential Loyalists"
12523,20,23,4010.35,4,5,5,14,"455","Champions"
12524,10,17,9794.11,5,5,5,15,"555","Champions"
12525,499,3,883.73,1,3,3,7,"133","At Risk"
12526,1,3,1172.66,5,3,3,11,"533","Potential Loyalists"
12527,82,5,717.51,3,4,3,10,"343","Loyal Customers"
12528,10,6,1645.48,5,4,4,13,"544","Champions"
12529,529,1,316.48,1,1,2,4,"112","Lost"
12530,60,9,3381.26,3,5,5,13,"355","Loyal Customers"
12531,15,2,1771.20,5,3,4,12,"534","Potential Loyalists"
12532,31,1,313.83,4,1,2,7,"412","New Customers"
12533,628,2,1223.89,1,2,4,7,"124","Hibernating"
12534,131,1,981.18,3,1,3,7,"313","Promising"
12535,92,2,716.35,3,2,3,8,"323","Promising"
12536,60,1,4279.71,3,1,5,9,"315","Promising"
12537,409,1,612.94,2,1,3,6,"213","About To Sleep"
12538,30,2,640.45,4,3,3,10,"433","Potential Loyalists"
12539,23,7,11186.75,4,4,5,13,"445","Champions"
12540,20,32,19250.49,4,5,5,14,"455","Champions"
12541,30,3,841.18,4,3,3,10,"433","Potential Loyalists"
12542,485,2,481.88,1,3,2,6,"132","At Risk"
12543,449,1,840.25,1,1,3,5,"113","Hibernating"
12544,37,1,316.70,4,1,2,7,"412","New Customers"
12545,76,2,832.39,3,2,3,8,"323","Promising"
12546,47,2,1021.50,4,2,3,9,"423","Potential Loyalists"
12547,198,3,299.58,2,3,2,7,"232","Needs Attention"
12548,167,1,67.20,3,1,1,5,"311","Promising"
12549,576,5,1570.68,1,4,4,9,"144","Cant Lose Them"
12550,80,1,824.83,3,1,3,7,"313","Promising"
12551,358,1,168.00,2,2,1,5,"221","Needs Attention"
12552,40,1,317.82,4,1,2,7,"412","New Customers"
12553,9,12,4104.75,5,5,5,15,"555","Champions"
12554,449,1,384.50,1,1,2,4,"112","Lost"
12556,51,2,599.56,4,3,2,9,"432","Potential Loyalists"
12557,17,8,18096.14,5,4,5,14,"545","Champions"
12558,8,1,269.96,5,1,1,7,"511","New Customers"
12559,311,2,525.71,2,2,2,6,"222","Needs Attention"
12560,6,2,1918.01,5,2,4,11,"524","Potential Loyalists"
12561,303,1,238.85,2,1,1,4,"211","About To Sleep"
12562,9,9,4426.92,5,5,5,15,"555","Champions"
12563,409,1,221.24,2,2,1,5,"221","Needs Attention"
12564,262,1,402.90,2,1,2,5,"212","About To Sleep"
12565,289,1,145.92,2,2,1,5,"221","Needs Attention"
12566,87,1,297.65,3,1,2,6,"312","Promising"
12567,23,15,10741.48,4,5,5,14,"455","Champions"
12568,645,1,52.00,1,1,1,3,"111","Lost"
12569,3,32,3152.69,5,5,5,15,"555","Champions"
12571,40,2,519.61,4,2,2,8,"422","Potential Loyalists"
12572,9,2,912.42,5,2,3,10,"523","Potential Loyalists"
12573,228,5,717.41,2,4,3,9,"243","At Risk"
12574,316,1,182.45,2,2,1,5,"221","Needs Attention"
12575,458,2,568.82,1,2,2,5,"122","Lost"
12576,36,8,2062.72,4,5,4,13,"454","Champions"
12577,36,8,1613.15,4,4,4,12,"444","Champions"
12578,22,4,4026.45,4,3,5,12,"435","Potential Loyalists"
12579,79,1,386.42,3,1,2,6,"312","Promising"
12580,247,2,962.90,2,2,3,7,"223","Needs Attention"
12581,40,1,179.71,4,2,1,7,"421","Potential Loyalists"
12582,239,4,1820.40,2,4,4,10,"244","Cant Lose Them"
12583,3,27,12493.58,5,5,5,15,"555","Champions"
12584,4,9,2254.15,5,5,4,14,"554","Champions"
12585,235,2,1824.10,2,2,4,8,"224","Needs Attention"
12586,18,4,2062.67,5,3,4,12,"534","Potential Loyalists"
12587,8,1,104.00,5,1,1,7,"511","New Customers"
12588,40,3,718.78,4,3,3,10,"433","Potential Loyalists"
12589,29,6,3294.91,4,4,5,13,"445","Champions"
12590,212,1,9341.26,2,2,5,9,"225","Needs Attention"
12591,318,3,1114.95,2,3,3,8,"233","Needs Attention"
12592,93,4,1723.64,3,3,4,10,"334","Promising"
12593,109,3,382.10,3,3,2,8,"332","Promising"
12594,38,14,4890.11,4,5,5,14,"455","Champions"
12595,505,1,281.02,1,1,1,3,"111","Lost"
12596,52,2,450.27,4,2,2,8,"422","Potential Loyalists"
12597,20,4,3195.22,4,3,5,12,"435","Potential Loyalists"
12598,10,10,4192.09,5,5,5,15,"555","Champions"
12599,30,13,2026.72,4,5,4,13,"454","Champions"
12600,29,20,4385.85,4,5,5,14,"455","Champions"
12601,190,6,573.26,2,4,2,8,"242","At Risk"
12602,59,1,153.12,4,2,1,7,"421","Potential Loyalists"
12603,22,1,613.20,4,1,3,8,"413","New Customers"
12604,80,2,236.18,3,2,1,6,"321","Promising"
12605,377,3,1124.95,2,3,3,8,"233","Needs Attention"
12607,61,1,1579.51,3,1,4,8,"314","Promising"
12608,405,1,415.79,2,1,2,5,"212","About To Sleep"
12609,79,9,3021.86,3,5,5,13,"355","Loyal Customers"
12610,23,4,1747.54,4,4,4,12,"444","Champions"
12611,53,1,1193.32,4,1,3,8,"413","New Customers"
12612,75,1,668.04,3,1,3,7,"313","Promising"
12613,58,9,6277.37,4,5,5,14,"455","Champions"
12614,278,1,315.60,2,1,2,5,"212","About To Sleep"
12615,3,8,5362.98,5,4,5,14,"545","Champions"
12616,96,3,1023.10,3,3,3,9,"333","Promising"
12617,30,1,352.98,4,1,2,7,"412","New Customers"
12618,22,1,137.31,4,2,1,7,"421","Potential Loyalists"
12619,17,9,3085.70,5,5,5,15,"555","Champions"
12620,15,3,1303.41,5,3,4,12,"534","Potential Loyalists"
12621,2,35,22097.20,5,5,5,15,"555","Champions"
12622,233,1,162.10,2,2,1,5,"221","Needs Attention"
12623,277,7,3315.84,2,4,5,11,"245","Cant Lose Them"
12624,107,2,569.13,3,2,2,7,"322","Promising"
12625,212,4,4678.88,2,3,5,10,"235","Needs Attention"
12626,24,9,5954.48,4,5,5,14,"455","Champions"
12627,11,6,4082.53,5,4,5,14,"545","Champions"
12628,5,3,732.46,5,3,3,11,"533","Potential Loyalists"
12629,386,2,1198.22,2,2,3,7,"223","Needs Attention"
12630,10,2,1030.88,5,2,3,10,"523","Potential Loyalists"
12631,58,6,3321.57,4,4,5,13,"445","Champions"
12632,521,2,714.88,1,2,3,6,"123","Hibernating"
12633,59,7,5156.16,4,4,5,13,"445","Champions"
12634,549,1,360.00,1,1,2,4,"112","Lost"
12635,90,4,2624.41,3,3,4,10,"334","Promising"
12637,68,12,8085.81,3,5,5,13,"355","Loyal Customers"
12638,34,2,681.49,4,3,3,10,"433","Potential Loyalists"
12639,239,3,1072.37,2,3,3,8,"233","Needs Attention"
12640,24,3,994.58,4,3,3,10,"433","Potential Loyalists"
12641,116,1,145.90,3,2,1,6,"321","Promising"
12642,26,3,905.26,4,3,3,10,"433","Potential Loyalists"
12643,129,11,7803.82,3,5,5,13,"355","Loyal Customers"
12644,130,4,1900.49,3,3,4,10,"334","Promising"
12645,34,8,3215.30,4,4,5,13,"445","Champions"
12646,5,2,1346.97,5,2,4,11,"524","Potential Loyalists"
12647,23,35,14109.55,4,5,5,14,"455","Champions"
12648,155,4,1039.00,3,4,3,10,"343","Loyal Customers"
12649,108,8,2096.65,3,4,4,11,"344","Loyal Customers"
12650,4,1,242.44,5,1,1,7,"511","New Customers"
12651,335,4,377.75,2,3,2,7,"232","Needs Attention"
12652,332,2,891.03,2,2,3,7,"223","Needs Attention"
12653,149,3,4160.83,3,3,5,11,"335","Promising"
12654,11,5,529.98,5,4,2,11,"542","Champions"
12655,424,1,243.35,1,1,1,3,"111","Lost"
12656,18,8,5723.83,5,4,5,14,"545","Champions"
12657,12,4,1427.18,5,3,4,12,"534","Potential Loyalists"
12658,19,1,632.05,5,1,3,9,"513","New Customers"
12659,30,1,73.68,4,1,1,6,"411","New Customers"
12660,12,1,227.10,5,2,1,8,"521","Potential Loyalists"
12661,437,1,162.00,1,2,1,4,"121","Lost"
12662,1,20,6130.54,5,5,5,15,"555","Champions"
12663,625,2,185.40,1,2,1,4,"121","Lost"
12664,9,11,5420.04,5,5,5,15,"555","Champions"
12665,325,3,259.60,2,3,1,6,"231","Needs Attention"
12666,395,1,1248.42,2,1,4,7,"214","About To Sleep"
12667,59,1,460.13,4,1,2,7,"412","New Customers"
12668,12,9,9906.03,5,5,5,15,"555","Champions"
12669,151,2,1427.73,3,2,4,9,"324","Promising"
12670,11,7,3436.29,5,4,5,14,"545","Champions"
12671,607,1,2622.48,1,1,4,6,"114","Hibernating"
12672,330,2,407.05,2,2,2,6,"222","Needs Attention"
12673,6,3,1140.02,5,3,3,11,"533","Potential Loyalists"
12674,39,4,1844.60,4,4,4,12,"444","Champions"
12675,554,2,873.25,1,2,3,6,"123","Hibernating"
12676,25,10,2333.09,4,5,4,13,"454","Champions"
12677,556,2,359.10,1,3,2,6,"132","At Risk"
12678,43,17,32855.18,4,5,5,14,"455","Champions"
12679,59,4,951.02,3,3,3,9,"333","Promising"
12680,1,4,790.81,5,4,3,12,"543","Champions"
12681,15,44,26936.76,5,5,5,15,"555","Champions"
12682,4,51,20736.22,5,5,5,15,"555","Champions"
12683,5,20,10445.70,5,5,5,15,"555","Champions"
12684,8,6,2073.63,5,4,4,13,"544","Champions"
12685,29,6,2575.08,4,4,4,12,"444","Champions"
12686,372,1,71.14,2,1,1,4,"211","About To Sleep"
12687,481,1,1858.91,1,1,4,6,"114","Hibernating"
12688,114,1,4873.81,3,1,5,9,"315","Promising"
12689,26,2,1139.61,4,3,3,10,"433","Potential Loyalists"
12690,206,1,335.01,2,1,2,5,"212","About To Sleep"
12691,29,6,1044.40,4,4,3,11,"443","Champions"
12692,638,1,110.95,1,1,1,3,"111","Lost"
12693,128,7,1415.02,3,4,4,11,"344","Loyal Customers"
12694,71,3,1663.35,3,3,4,10,"334","Promising"
12695,8,7,1371.12,5,4,4,13,"544","Champions"
12696,435,2,731.91,1,2,3,6,"123","Hibernating"
12697,29,3,757.59,4,3,3,10,"433","Potential Loyalists"
12698,591,1,285.75,1,1,2,4,"112","Lost"
12699,418,1,566.11,1,1,2,4,"112","Lost"
12700,8,4,4525.99,5,3,5,13,"535","Potential Loyalists"
12701,80,6,2248.41,3,4,4,11,"344","Loyal Customers"
12702,20,1,201.00,4,2,1,7,"421","Potential Loyalists"
12703,72,4,898.53,3,3,3,9,"333","Promising"
12704,8,8,1740.84,5,4,4,13,"544","Champions"
12705,16,13,11114.10,5,5,5,15,"555","Champions"
12707,292,1,603.42,2,1,2,5,"212","About To Sleep"
12708,30,18,4559.66,4,5,5,14,"455","Champions"
12709,16,32,29487.18,5,5,5,15,"555","Champions"
12710,97,3,1023.02,3,3,3,9,"333","Promising"
12711,612,2,1213.05,1,2,4,7,"124","Hibernating"
12712,29,21,5985.03,4,5,5,14,"455","Champions"
12713,1,1,794.55,5,1,3,9,"513","New Customers"
12714,10,12,12815.71,5,5,5,15,"555","Champions"
12715,107,1,263.36,3,1,1,5,"311","Promising"
12716,4,2,963.49,5,2,3,10,"523","Potential Loyalists"
12717,152,3,1058.91,3,3,3,9,"333","Promising"
12718,72,1,202.25,3,2,1,6,"321","Promising"
12719,6,2,572.95,5,2,2,9,"522","Potential Loyalists"
12720,3,29,6905.28,5,5,5,15,"555","Champions"
12721,32,8,3635.08,4,5,5,14,"455","Champions"
12722,86,4,979.63,3,3,3,9,"333","Promising"
12723,4,5,707.07,5,4,3,12,"543","Champions"
12724,6,7,2083.52,5,4,4,13,"544","Champions"
12725,372,3,1906.76,2,3,4,9,"234","Needs Attention"
12726,29,11,3690.60,4,5,5,14,"455","Champions"
12727,11,10,4905.53,5,5,5,15,"555","Champions"
12728,72,5,926.17,3,4,3,10,"343","Loyal Customers"
12729,114,1,417.01,3,1,2,6,"312","Promising"
12730,522,1,703.25,1,1,3,5,"113","Hibernating"
12731,24,17,25631.71,4,5,5,14,"455","Champions"
12732,180,1,218.26,3,2,1,6,"321","Promising"
12733,235,4,2424.02,2,3,4,9,"234","Needs Attention"
12734,353,3,603.65,2,3,3,8,"233","Needs Attention"
12735,316,2,689.57,2,2,3,7,"223","Needs Attention"
12736,333,1,144.00,2,2,1,5,"221","Needs Attention"
12737,499,1,100.00,1,1,1,3,"111","Lost"
12738,373,1,137.35,2,2,1,5,"221","Needs Attention"
12739,100,2,2421.23,3,2,4,9,"324","Promising"
12740,64,1,427.60,3,1,2,6,"312","Promising"
12741,534,1,236.07,1,1,1,3,"111","Lost"
12742,626,1,1201.52,1,1,3,5,"113","Hibernating"
12743,135,2,540.13,3,2,2,7,"322","Promising"
12744,57,8,13158.16,4,4,5,13,"445","Champions"
12745,487,2,723.85,1,2,3,6,"123","Hibernating"
12746,541,1,254.55,1,1,1,3,"111","Lost"
12747,3,26,8898.48,5,5,5,15,"555","Champions"
12748,1,322,49176.74,5,5,5,15,"555","Champions"
12749,4,9,6897.36,5,5,5,15,"555","Champions"
12750,129,1,275.88,3,1,1,5,"311","Promising"
12751,445,1,268.27,1,1,1,3,"111","Lost"
12752,82,1,4366.78,3,1,5,9,"315","Promising"
12753,23,6,21429.39,4,4,5,13,"445","Champions"
12754,236,3,3010.74,2,3,5,10,"235","Needs Attention"
12755,281,11,5236.26,2,5,5,12,"255","Cant Lose Them"
12756,87,1,112.08,3,1,1,5,"311","Promising"
12757,16,9,4176.75,5,5,5,15,"555","Champions"
12758,117,7,9903.24,3,4,5,12,"345","Loyal Customers"
12759,53,8,4618.74,4,5,5,14,"455","Champions"
12760,456,1,317.80,1,1,2,4,"112","Lost"
12761,465,1,712.95,1,1,3,5,"113","Hibernating"
12762,8,2,1702.52,5,3,4,12,"534","Potential Loyalists"
12763,139,2,494.08,3,3,2,8,"332","Promising"
12764,317,1,1693.88,2,1,4,7,"214","About To Sleep"
12765,473,6,1299.58,1,4,4,9,"144","Cant Lose Them"
12766,4,9,8134.99,5,5,5,15,"555","Champions"
12767,376,1,949.82,2,1,3,6,"213","About To Sleep"
12768,451,1,168.69,1,2,1,4,"121","Lost"
12769,239,1,1143.60,2,1,3,6,"213","About To Sleep"
12770,211,2,3246.45,2,2,5,9,"225","Needs Attention"
12771,486,1,226.30,1,2,1,4,"121","Lost"
12772,60,1,752.47,3,1,3,7,"313","Promising"
12773,565,1,124.25,1,1,1,3,"111","Lost"
12774,536,1,83.70,1,1,1,3,"111","Lost"
12775,18,7,1551.12,5,4,4,13,"544","Champions"
12776,668,1,27.50,1,1,1,3,"111","Lost"
12777,458,1,519.45,1,1,2,4,"112","Lost"
12778,20,9,1541.68,4,5,4,13,"454","Champions"
12779,38,14,6474.11,4,5,5,14,"455","Champions"
12780,599,1,322.40,1,1,2,4,"112","Lost"
12781,64,2,786.74,3,2,3,8,"323","Promising"
12782,5,11,3862.24,5,5,5,15,"555","Champions"
12783,3,4,1295.87,5,4,4,13,"544","Champions"
12784,16,2,1511.15,5,2,4,11,"524","Potential Loyalists"
12785,365,3,904.40,2,3,3,8,"233","Needs Attention"
12786,610,1,668.50,1,1,3,5,"113","Hibernating"
12787,10,4,799.18,5,3,3,11,"533","Potential Loyalists"
12788,464,4,384.90,1,4,2,7,"142","At Risk"
12789,66,3,225.35,3,3,1,7,"331","Promising"
12790,193,2,546.85,2,2,2,6,"222","Needs Attention"
12791,374,5,656.83,2,4,3,9,"243","At Risk"
12792,257,2,715.01,2,2,3,7,"223","Needs Attention"
12793,335,3,745.53,2,3,3,8,"233","Needs Attention"
12794,54,2,860.41,4,2,3,9,"423","Potential Loyalists"
12795,19,1,318.48,5,1,2,8,"512","New Customers"
12796,629,1,351.00,1,1,2,4,"112","Lost"
12797,366,2,468.08,2,3,2,7,"232","Needs Attention"
12798,11,4,8510.93,5,3,5,13,"535","Potential Loyalists"
12799,530,1,219.35,1,2,1,4,"121","Lost"
12800,471,2,500.25,1,3,2,6,"132","At Risk"
12801,501,1,871.82,1,1,3,5,"113","Hibernating"
12802,187,5,2186.42,3,4,4,11,"344","Loyal Customers"
12803,394,1,1017.81,2,1,3,6,"213","About To Sleep"
12804,466,2,325.37,1,2,2,5,"122","Lost"
12805,382,4,1230.95,2,4,4,10,"244","Cant Lose Them"
12806,573,2,2558.96,1,3,4,8,"134","At Risk"
12807,384,1,250.35,2,1,1,4,"211","About To Sleep"
12808,37,5,748.70,4,4,3,11,"443","Champions"
12809,178,3,1384.34,3,3,4,10,"334","Promising"
12810,535,2,534.99,1,2,2,5,"122","Lost"
12811,262,4,893.90,2,3,3,8,"233","Needs Attention"
12812,45,1,229.64,4,2,1,7,"421","Potential Loyalists"
12813,502,3,1621.80,1,3,4,8,"134","At Risk"
12814,102,1,85.92,3,1,1,5,"311","Promising"
12815,148,2,863.46,3,2,3,8,"323","Promising"
12816,96,2,452.20,3,2,2,7,"322","Promising"
12817,282,3,570.98,2,3,2,7,"232","Needs Attention"
12818,262,1,1182.08,2,1,3,6,"213","About To Sleep"
12819,459,1,540.52,1,1,2,4,"112","Lost"
12820,4,11,2689.52,5,5,4,14,"554","Champions"
12821,215,2,220.80,2,3,1,6,"231","Needs Attention"
12822,71,2,948.88,3,2,3,8,"323","Promising"
12823,75,18,6501.50,3,5,5,13,"355","Loyal Customers"
12824,60,1,397.12,3,1,2,6,"312","Promising"
12825,522,2,518.63,1,2,2,5,"122","Lost"
12826,3,12,2800.75,5,5,4,14,"554","Champions"
12827,6,3,430.15,5,3,2,10,"532","Potential Loyalists"
12828,3,6,1018.71,5,4,3,12,"543","Champions"
12829,337,3,385.30,2,3,2,7,"232","Needs Attention"
